E100013117_L01_96_1_fastqc;V3QRHD
E100016707_L01_101_1_fastqc;V3QWML
E100016768_L01_57_1_fastqc;V3R0O9
E100009772A_L01_60_1_fastqc;V3RGCA
E100015864_L01_82_1_fastqc;V3SIEJ
E100013135_L01_67_1_fastqc;V3TLP0
E100013118_L01_124_1_fastqc;V3U9VV
E100016707_L01_124_1_fastqc;V3V4R5
E100016770_L01_73_1_fastqc;V3V8M0
E100009727_L01_45_1_fastqc;V3VRBX
E100010953_L01_62_1_fastqc;V3VRTM
E100013421_L01_95_1_fastqc;V3W65A
E100016768_L01_38_1_fastqc;V3WVLS
E100013104_L01_37_1_fastqc;V3ZZZH
E100010235_L01_43_1_fastqc;V403E2
E100013100_L01_116_1_fastqc;V41WWG
E100013123_L01_116_1_fastqc;V41WWG
E100010235_L01_78_1_fastqc;V422N7
E100015864_L01_68_1_fastqc;V42X50
E100010924_L01_28_1_fastqc;V4388S
E100013117_L01_80_1_fastqc;V43FMX
E100013189_L01_52_1_fastqc;V43NBV
E100009678_L01_82_1_fastqc;V44S08
E100013128_L01_49_1_fastqc;V45C0T
E100013421_L01_35_1_fastqc;V45N04
E100013106_L01_100_1_fastqc;V46GGV
E100013465_L01_116_1_fastqc;V46NG6
E100009727_L01_48_1_fastqc;V47GD0
E100013189_L01_67_1_fastqc;V4824I
E100013465_L01_84_1_fastqc;V49CSW
E100013100_L01_2_1_fastqc;V4AA4Y
E100013123_L01_2_1_fastqc;V4AA4Y
E100013104_L01_89_1_fastqc;V4ALXV
E100013108_L01_85_1_fastqc;V4BDZE
E100009678_L01_13_1_fastqc;V4BF1X
E100013135_L01_98_1_fastqc;V4CLBM
E100013118_L01_29_1_fastqc;V4CXS7
E100016768_L01_52_1_fastqc;V4EHO7
E100016768_L01_82_1_fastqc;V4EROO
E100016707_L01_42_1_fastqc;V4HFBS
E100016707_L01_49_1_fastqc;V4HMN4
E100013118_L01_121_1_fastqc;V4HQPV
E100013128_L01_45_1_fastqc;V4IZR2
E100013108_L01_103_1_fastqc;V4IZWO
E100013465_L01_124_1_fastqc;V4J3DG
E100016707_L01_81_1_fastqc;V4JH2B
E100013189_L01_64_1_fastqc;V4K1M4
E100013124_L01_46_1_fastqc;V4KZ09
E100013118_L01_65_1_fastqc;V4LPYS
E100013117_L01_121_1_fastqc;V4LXO6
E100010235_L01_89_1_fastqc;V4NR6R
E100013117_L01_25_1_fastqc;V4O7YS
E100009678_L01_89_1_fastqc;V4OF9T
E100013421_L01_80_1_fastqc;V4OKLR
E100012874_L01_38_1_fastqc;V4OU5B
E100013104_L01_127_1_fastqc;V4OUOI
E100015864_L01_26_1_fastqc;V4PAWM
E100013106_L01_114_1_fastqc;V4R2BO
E100015864_L01_39_1_fastqc;V4RE1W
E100013100_L01_68_1_fastqc;V4S8AO
E100013123_L01_68_1_fastqc;V4S8AO
E100013124_L01_122_1_fastqc;V4SFLT_2
E100009727_L01_87_1_fastqc;V4SYGX
E100010924_L01_126_1_fastqc;V4T8FP
E100016768_L01_30_1_fastqc;V4T9C9
E100009887_L01_26_1_fastqc;V4U4F1
E100013118_L01_69_1_fastqc;V4UO31
E100013124_L01_59_1_fastqc;V4UTSV
E100013117_L01_79_1_fastqc;V4VMJ8
E100013118_L01_79_1_fastqc;V4X3XF
E100013458_L01_29_1_fastqc;V4Y7HA
E100013117_L01_123_1_fastqc;V4Y8TL
E100009887_L01_79_1_fastqc;V4Z0XV
E100013117_L01_64_1_fastqc;V4Z3GI
E100016768_L01_80_1_fastqc;V4ZIYY
E100016707_L01_67_1_fastqc;V502CT
E100010924_L01_98_1_fastqc;V51DMC
E100013189_L01_80_1_fastqc;V51GBD
E100013108_L01_87_1_fastqc;V51OWV
E100016707_L01_56_1_fastqc;V528AK
E100013421_L01_25_1_fastqc;V538VT
E100013100_L01_128_1_fastqc;V53FDC
E100010924_L01_80_1_fastqc;V53IWZ
E100013458_L01_70_1_fastqc;V53X58
E100013128_L01_67_1_fastqc;V549I8
E100013100_L01_49_1_fastqc;V54HHN
E100013123_L01_49_1_fastqc;V54HHN
E100013135_L01_75_1_fastqc;V55KOT
E100013189_L01_124_1_fastqc;V56X8J
E100010924_L01_48_1_fastqc;V57SFJ
E100010953_L01_4_1_fastqc;V58H3M
E100013465_L01_63_1_fastqc;V5A626
E100013104_L01_69_1_fastqc;V5CSNP
E100016770_L01_60_1_fastqc;V5F8BY
E100013135_L01_42_1_fastqc;V5F9JY
E100016768_L01_87_1_fastqc;V5FT1E
E100013135_L01_128_1_fastqc;V5G37R
E100016770_L01_64_1_fastqc;V5GQ5O
E100013106_L01_94_1_fastqc;V5HE1I
E100010953_L01_80_1_fastqc;V5IE2U
E100013108_L01_92_1_fastqc;V5IPFI
E100013124_L01_121_1_fastqc;V5K18Z
E100009678_L01_62_1_fastqc;V5KQYE
E100016770_L01_122_1_fastqc;V5LLKT
E100010924_L01_95_1_fastqc;V5M6T7
E100013104_L01_95_1_fastqc;V5MLEE
E100015864_L01_70_1_fastqc;V5NIUH
E100009887_L01_30_1_fastqc;V5PHPV
E100013100_L01_91_1_fastqc;V5PYEC
E100013123_L01_91_1_fastqc;V5PYEC
E100009887_L01_52_1_fastqc;V5QHW0
E100010953_L01_101_1_fastqc;V5QIRQ
E100013108_L01_69_1_fastqc;V5RCKV
E100013106_L01_59_1_fastqc;V5RFHW
E100009772A_L01_94_1_fastqc;V5RT3Y
E100013135_L01_32_1_fastqc;V5SBKS
E100016768_L01_29_1_fastqc;V5TGN9
E100016768_L01_83_1_fastqc;V5ULXX
E100013108_L01_86_1_fastqc;V5VXYK
E100016707_L01_14_1_fastqc;V5Y6CN
E100013108_L01_68_1_fastqc;V5YC9E
E100013458_L01_71_1_fastqc;V5ZSBB
E100013465_L01_87_1_fastqc;V601ZE
E100012874_L01_114_1_fastqc;V60A10
E100013104_L01_25_1_fastqc;V60HX3
E100009727_L01_13_1_fastqc;V61VLS
E100013100_L01_4_1_fastqc;V6255X
E100013123_L01_4_1_fastqc;V6255X
E100015864_L01_99_1_fastqc;V62CWJ
E100013100_L01_70_1_fastqc;V63613
E100013123_L01_70_1_fastqc;V63613
E100010235_L01_104_1_fastqc;V63O1J
E100009887_L01_99_1_fastqc;V643W3
E100010924_L01_38_1_fastqc;V64BY5
E100013189_L01_3_1_fastqc;V667ET
E100013421_L01_81_1_fastqc;V66RV6
E100013104_L01_14_1_fastqc;V66SVJ
E100016770_L01_67_1_fastqc;V67E83
E100009772A_L01_34_1_fastqc;V67RSJ
E100012874_L01_95_1_fastqc;V680SY
E100013135_L01_74_1_fastqc;V68KXR
E100013135_L01_3_1_fastqc;V69MNU
E100010924_L01_71_1_fastqc;V6A7TA
E100016770_L01_127_1_fastqc;V6B09P
E100010924_L01_16_1_fastqc;V6DKWB
E100013117_L01_51_1_fastqc;V6DO26
E100016707_L01_74_1_fastqc;V6DPVZ
E100013124_L01_104_1_fastqc;V6ERPW
E100013128_L01_2_1_fastqc;V6FAO7
E100010235_L01_61_1_fastqc;V6G6IG
E100013465_L01_85_1_fastqc;V6H0MM
E100009678_L01_104_1_fastqc;V6HUPY
E100016707_L01_73_1_fastqc;V6JQBG
E100016707_L01_97_1_fastqc;V6LFOA
E100013108_L01_78_1_fastqc;V6LGKV
E100009678_L01_16_1_fastqc;V6LSYW
E100013108_L01_104_1_fastqc;V6MAK5
E100016770_L01_61_1_fastqc;V6OS4F
E100015864_L01_66_1_fastqc;V6P7D2
E100013108_L01_80_1_fastqc;V6PGJM
E100012874_L01_117_1_fastqc;V6QVBQ
E100013118_L01_80_1_fastqc;V6QVQM
E100010924_L01_70_1_fastqc;V6RL47
E100013108_L01_53_1_fastqc;V6SF50
E100010924_L01_4_1_fastqc;V6SUUS
E100009887_L01_80_1_fastqc;V6SZC7
E100010953_L01_63_1_fastqc;V6TYKF
E100015864_L01_35_1_fastqc;V6U9CP
E100009887_L01_81_1_fastqc;V6VKWU
E100013117_L01_73_1_fastqc;V6VPVZ
E100013117_L01_81_1_fastqc;V6WAJC
E100016770_L01_98_1_fastqc;V6WFKS
E100013106_L01_86_1_fastqc;V6XH8G
E100009727_L01_82_1_fastqc;V6YM6N
E100013465_L01_65_1_fastqc;V70F47
E100013128_L01_57_1_fastqc;V75JUD
E100009887_L01_49_1_fastqc;V76NWH
E100013124_L01_80_1_fastqc;V76R3R
E100010235_L01_90_1_fastqc;V7737A
E100013135_L01_126_1_fastqc;V7774F
E100013100_L01_3_1_fastqc;V77S6P
E100013123_L01_3_1_fastqc;V77S6P
E100016770_L01_101_1_fastqc;V79TII
E100013118_L01_62_1_fastqc;V79WFU
E100013108_L01_25_1_fastqc;V7B29S
E100010235_L01_114_1_fastqc;V7CDL5
E100010924_L01_104_1_fastqc;V7CKE8
E100013465_L01_126_1_fastqc;V7EM4L
E100009772A_L01_92_1_fastqc;V7FFHH
E100013458_L01_99_1_fastqc;V7FW1R
E100010235_L01_33_1_fastqc;V7H80T
E100013108_L01_35_1_fastqc;V7HAZ8
E100016707_L01_92_1_fastqc;V7HJF3
E100013108_L01_97_1_fastqc;V7I6LF
E100009678_L01_73_1_fastqc;V7IKOL
E100010924_L01_96_1_fastqc;V7IMXI
E100013117_L01_72_1_fastqc;V7K3RV
E100013458_L01_93_1_fastqc;V7LAPG
E100013100_L01_45_1_fastqc;V7LVPE
E100013123_L01_45_1_fastqc;V7LVPE
E100013124_L01_58_1_fastqc;V7MUGL
E100016707_L01_90_1_fastqc;V7NMEF
E100013128_L01_127_1_fastqc;V7O2TS
